date,qty
20180630,146
20180701,328
20180702,145
20180703,693
20180704,401
20180705,328
20180706,328
20180707,73
20180708,36
20180709,109
20180711,328
20180712,510
20180713,474
20180714,182
20180715,146
20180716,547
20180717,255
20180718,291
20180719,510
20180720,401
20180721,36
20180722,72
20180723,583
20180724,146
20180725,365
20180726,401
20180727,949
20180728,328
20180729,36
20180730,437
20180731,401
20180801,401
20180802,219
20180803,401
20180804,72
20180805,36
20180806,255
20180807,255
20180808,401
20180809,365
20180810,509
20180811,656
20180812,292
20180813,182
20180814,218
20180815,109
20180816,547
20180817,364
20180818,255
20180820,620
20180821,182
20180822,182
20180823,657
20180824,182
20180825,182
20180827,36
20180828,255
20180829,36
20180830,328
20180831,328
20180902,73
20180903,146
20180904,146
20180905,328
20180906,255
20180907,182
20180908,182
20180909,146
20180910,36
20180911,108
20180912,109
20180913,72
20180914,255
20180915,36
20180917,36
20180919,72
20180920,109
20180922,109
20180925,36
20180927,218
20180928,36
20180929,36
20181001,36
20181002,255
20181006,146
20181008,36
20181010,255
20181012,182
20181015,36
20181016,36
20181017,219
20181018,36
20181020,36
20181022,182
20181023,73
20181024,36
20181025,73
20181026,145
20181028,36
20181029,182
20181030,109
20181031,36
20181102,219
20181106,73
20181107,182
20181108,72
20181109,36
20181110,73
20181112,218
20181113,72
20181115,291
20181117,36
20181119,73
20181120,145
20181121,72
20181123,182
20181126,36
20181127,36
20181128,109
20181129,219
20181130,401
20181201,182
20181202,146
20181203,146
20181205,219
20181209,218
20181210,73
20181212,72
20181213,73
20181214,109
20181215,36
20181216,36
20181218,182
20181219,36
20181220,73
20181221,145
20181222,145
20181223,182
20181224,73
20181226,145
20181228,73
20181231,36
